date,visitor,home
2020-03-10,PHO,POR
2020-03-10,LAC,GSW
2020-03-10,BRK,LAL
2020-03-11,NYK,ATL
2020-03-11,CHO,MIA
2020-03-11,DET,PHI
2020-03-11,UTA,OKC
2020-03-11,DEN,DAL
2020-03-11,NOP,SAC
2020-03-12,CHI,ORL
2020-03-12,BOS,MIL
2020-03-12,MEM,POR
2020-03-12,BRK,GSW
2020-03-12,HOU,LAL
2020-03-13,CLE,CHO
2020-03-13,WAS,BOS
2020-03-13,NYK,MIA
2020-03-13,MIN,OKC
2020-03-13,DEN,SAS
2020-03-13,NOP,UTA
2020-03-13,BRK,LAC
2020-03-14,PHO,DAL
2020-03-14,CLE,ATL
2020-03-14,IND,PHI
2020-03-14,DET,TOR
2020-03-14,CHI,MIA
2020-03-14,GSW,MIL
2020-03-14,MIN,SAS
2020-03-14,MEM,UTA
2020-03-14,NOP,LAC
2020-03-15,HOU,POR
2020-03-15,CHO,ORL
2020-03-15,OKC,WAS
2020-03-15,BOS,CHI
2020-03-15,DEN,LAL
2020-03-15,BRK,SAC
2020-03-16,WAS,PHI
2020-03-16,MIA,MIL
2020-03-16,ATL,NOP
2020-03-16,GSW,TOR
2020-03-16,MEM,SAS
2020-03-16,LAL,UTA
2020-03-16,DAL,LAC
2020-03-17,ORL,DET
2020-03-17,CHO,NYK
2020-03-17,CLE,HOU
2020-03-17,OKC,MEM
2020-03-17,MIN,POR
2020-03-17,DAL,SAC
2020-03-18,TOR,PHI
2020-03-18,OKC,ATL
2020-03-18,NYK,BOS
2020-03-18,WAS,BRK
2020-03-18,GSW,IND
2020-03-18,MIA,CHI
2020-03-18,SAS,NOP
2020-03-18,LAC,DEN
2020-03-18,UTA,LAL
2020-03-18,MIN,PHO
2020-03-19,PHI,CHO
2020-03-19,CLE,ORL
2020-03-19,SAC,HOU
2020-03-19,MEM,MIL
2020-03-19,DAL,POR
2020-03-20,GSW,DET
2020-03-20,MIA,IND
2020-03-20,WAS,ATL
2020-03-20,BOS,TOR
2020-03-20,DEN,OKC
2020-03-20,CHI,SAS
2020-03-20,MIN,UTA
2020-03-20,PHO,LAC
2020-03-21,BOS,BRK
2020-03-21,LAL,CHO
2020-03-21,CLE,IND
2020-03-21,SAC,ORL
2020-03-21,ATL,PHI
2020-03-21,GSW,NYK
2020-03-21,CHI,HOU
2020-03-21,NOP,MEM
2020-03-21,MIL,WAS
2020-03-21,DAL,PHO
2020-03-22,LAL,DET
2020-03-22,DEN,TOR
2020-03-22,POR,MIN
2020-03-22,SAC,NOP
2020-03-22,UTA,SAS
2020-03-23,PHO,IND
2020-03-23,LAC,NYK
2020-03-23,BOS,WAS
2020-03-23,ORL,BRK
2020-03-23,OKC,MIA
2020-03-23,DEN,CHI
2020-03-23,DET,MIL
2020-03-23,HOU,DAL
2020-03-24,POR,CHO
2020-03-24,SAC,CLE
2020-03-24,LAL,TOR
2020-03-24,PHI,MIN
2020-03-24,MEM,NOP
2020-03-24,SAS,UTA
2020-03-25,LAC,BRK
2020-03-25,POR,DET
2020-03-25,IND,ORL
2020-03-25,PHO,WAS
2020-03-25,DEN,MIA
2020-03-25,TOR,NYK
2020-03-25,BOS,MEM
2020-03-25,HOU,MIL
2020-03-25,ATL,GSW
2020-03-26,LAL,CLE
2020-03-26,PHI,CHI
2020-03-26,SAS,MIN
2020-03-26,CHO,OKC
2020-03-26,UTA,DAL
2020-03-26,ATL,SAC
2020-03-27,LAC,DET
2020-03-27,HOU,IND
2020-03-27,BRK,ORL
2020-03-27,PHO,PHI
2020-03-27,POR,BOS
2020-03-27,NYK,NOP
2020-03-27,WAS,MIL
2020-03-27,SAS,DEN
2020-03-28,CLE,BRK
2020-03-28,LAC,CHO
2020-03-28,NYK,CHI
2020-03-28,TOR,MEM
2020-03-28,PHO,MIA
2020-03-28,LAL,WAS
2020-03-28,OKC,GSW
2020-03-28,ATL,UTA
2020-03-29,MIL,DAL
2020-03-29,HOU,DET
2020-03-29,MIN,BOS
2020-03-29,NOP,ORL
2020-03-29,POR,PHI
2020-03-29,SAS,GSW
2020-03-29,IND,SAC
2020-03-30,MIA,CHO
2020-03-30,PHO,CLE
2020-03-30,POR,BRK
2020-03-30,MEM,TOR
2020-03-30,LAL,MIN
2020-03-30,OKC,DEN
2020-03-30,CHI,UTA
2020-03-30,IND,LAC
2020-03-31,NOP,ATL
2020-03-31,HOU,PHI
2020-03-31,DEN,GSW
2020-03-31,SAS,SAC
2020-04-01,CHO,ORL
2020-04-01,NOP,WAS
2020-04-01,MIA,BOS
2020-04-01,DET,BRK
2020-04-01,NYK,MEM
2020-04-01,DAL,MIN
2020-04-01,PHO,OKC
2020-04-01,TOR,MIL
2020-04-01,CLE,UTA
2020-04-01,IND,LAL
2020-04-02,GSW,HOU
2020-04-02,LAC,SAC
2020-04-02,UTA,POR
2020-04-03,MIA,DET
2020-04-03,BRK,IND
2020-04-03,PHI,WAS
2020-04-03,CHO,ATL
2020-04-03,ORL,BOS
2020-04-03,MIN,NYK
2020-04-03,MIL,TOR
2020-04-03,DAL,MEM
2020-04-03,GSW,SAS
2020-04-03,CHI,DEN
2020-04-03,CLE,PHO
2020-04-04,OKC,LAC
2020-04-04,LAL,SAC
2020-04-05,ATL,CHO
2020-04-05,ORL,PHI
2020-04-05,MIL,BOS
2020-04-05,WAS,IND
2020-04-05,MIA,NYK
2020-04-05,DAL,BRK
2020-04-05,UTA,DEN
2020-04-05,CHI,PHO
2020-04-05,TOR,HOU
2020-04-05,DET,MIN
2020-04-05,NOP,SAS
2020-04-05,MEM,POR
2020-04-05,CLE,SAC
2020-04-05,OKC,LAL
2020-04-07,TOR,WAS
2020-04-07,DET,ATL
2020-04-07,IND,MIA
2020-04-07,MIL,PHI
2020-04-07,PHO,MIN
2020-04-07,CHO,NOP
2020-04-07,BRK,OKC
2020-04-07,HOU,DAL
2020-04-07,SAC,SAS
2020-04-07,MEM,DEN
2020-04-07,CLE,POR
2020-04-07,LAC,UTA
2020-04-07,CHI,LAL
2020-04-08,IND,BOS
2020-04-08,TOR,CHO
2020-04-08,ORL,NYK
2020-04-08,SAS,HOU
2020-04-08,CLE,GSW
2020-04-08,CHI,LAC
2020-04-09,DET,MIA
2020-04-09,BRK,MIL
2020-04-09,SAC,MIN
2020-04-09,PHO,NOP
2020-04-09,DEN,POR
2020-04-09,GSW,LAL
2020-04-10,BOS,ORL
2020-04-10,ATL,TOR
2020-04-10,WAS,HOU
2020-04-10,NYK,OKC
2020-04-10,PHI,SAS
2020-04-11,DET,DAL
2020-04-11,WAS,CHO
2020-04-11,ORL,IND
2020-04-11,PHI,NOP
2020-04-11,MIL,CLE
2020-04-11,BRK,CHI
2020-04-11,OKC,MEM
2020-04-11,BOS,MIA
2020-04-11,GSW,LAC
2020-04-11,SAC,DEN
2020-04-11,UTA,PHO
2020-04-12,HOU,SAS
2020-04-12,NYK,TOR
2020-04-12,ATL,MIL
2020-04-12,MIN,LAL
2020-04-13,MIA,CHO
2020-04-13,BRK,CLE
2020-04-13,BOS,DET
2020-04-13,SAS,IND
2020-04-13,ORL,CHI
2020-04-13,PHO,HOU
2020-04-13,PHI,MEM
2020-04-13,WAS,NOP
2020-04-13,UTA,OKC
2020-04-13,DAL,DEN
2020-04-13,POR,GSW
2020-04-13,MIN,LAC
2020-04-14,TOR,MIA
2020-04-14,DET,NYK
2020-04-14,DEN,UTA
2020-04-14,SAC,LAL
2020-04-15,CLE,ATL
2020-04-15,CHI,BOS
2020-04-15,MIL,BRK
2020-04-15,OKC,DAL
2020-04-15,MEM,HOU
2020-04-15,NYK,MIN
2020-04-15,TOR,ORL
2020-04-15,CHO,PHI
2020-04-15,NOP,SAS
2020-04-15,IND,WAS
2020-04-15,LAL,PHO
2020-04-15,LAC,POR
2020-04-15,GSW,SAC
